15 1 4.5 9. 12 15 1 4.5 9. 12 15 1 4.5 9. 8
3 5.2 8 7 0 -1 9.2 8 7 0 -5 13.2 8 8 0
14 -978 4 1 0 10 -982 4 9 0 10 -986 4 1 4
15 2 4.7 11. 14 15 3 4.7 11. 14 15 3 4.7 11. 14
15 3 4.7 11. 14 15 3 4.7 11. 14 15 3 4.7 11. 14
15 3 4.7 11. 14 15 3 4.7 11. 14 15 3 4.7 11. 14
15 3 4.7 11. 14 15 3 4.7 11. 14 15 3 4.7 11. 14
15 3 4.7 11. 14 15 3 4.7 11. 14 15 3 4.7 11. 14
15 3 4.7 11. 14 15 3 4.7 11. 14 15 3 4.7 11. 14
15 3 4.8 11. 14 15 3 4.7 11. 14 15 3 4.7 10. 9
4 6.3 10 7 0 1 9.4 8 9 0 -3 13.4 8 9 0
15 -977 4 2 0 11 -985 8 10 0 11 -986 5 1 0
4 6.3 10 8 0 1 9.4 8 9 0 -3 13.4 8 9 0
15 -977 4 2 0 11 -985 8 10 0 11 -986 5 1 0
4 6.3 10 7 0 1 9.4 8 9 0 -3 13.4 8 9 0
15 -977 4 2 1 11 -985 8 10 0 11 -986 5 1 0
4 6.3 10 7 0 1 9.4 8 9 0 -3 13.4 8 9 0
15 -977 4 2 0 11 -981 4 10 0 11 -986 5 0 5
0 6.3 10 7 0 2 9.4 8 9 0 -3 13.4 8 9 0
15 -977 4 2 0 11 -985 8 10 0 11 -986 5 1 0
4 6.3 10 7 0 1 9.4 8 9 0 -3 13.4 8 9 0
15 -977 4 2 0 11 -980 4 10 0 11 -986 5 5 0
0 6.3 9 7 5 0 6.3 10 7 0 5 5.4 8 8 0
22 -986 4 1 0 10 -978 4 1 0 10 -986 4 0 0
